"BE-S001" "BE-S003" "BE-S004" "BE-S005" "BE-S006" "BE-S007" "BE-S008" "BE-S009" "BE-S010" "BE-S011" "BE-S012" "BE-S014" "BE-S016" "BE-S017" "BE-S018" "BE-S019" "BE-S020" "BE-S021" "BE-S023" "BE-S024" "BE-S025" "BE-S031" "BE-S032" "BE-S033" "GH-S004a" "GH-S006a" "GH-S007a" "GH-S008a" "GH-S011b" "GH-S012a" "GH-S013a" "GH-S014a" "GH-S015a" "GH-S019a" "GH-S023a" "GH-S025a" "GH-S026a" "GH-S027a" "GH-S030a" "GH-S031a" "GH-S034a" "GH-S035a" "GH-S039a" "GH-S041a" "GH-S103" "GH-S104" "GH-S105" "GH-S110" "GH-S113" "GH-S119" "GH-S122" "GH-S123" "GH-S130" "GH-S143a" "GH-S149a" "GH-S156a" "NI-S002" "NI-S003" "NI-S004" "NI-S005" "NI-S006" "NI-S007" "NI-S008" "NI-S010" "NI-S029" "NI-S030" "NI-S032" "NI-S033" "NI-S034" "NI-S035" "NI-S036" "NI-S037" "NI-S038" "NI-S039" "NI-S040" "NI-S041" "NI-S042" "NI-S043" "NI-S044" "NI-S045" "NI-S046" "NI-S047" "NI-S048" "NI-S049" "NI-S050" "NI-S051" "NI-S052" "NI-S053" "NI-S054" "NI-S055" "NI-S056" "NI-S057" "NI-S058" "NI-S059" "NI-S060" "NI-S061" "NI-S062" "NI-S063" "NI-S064" "NI-S065" "NI-S066" "NI-S067" "NI-S068" "NI-S069" "NI-S070" "NI-S071" "NI-S072" "NI-S073" "NI-S074" "NI-S075" "NI-S076" "NI-S077" "NI-S079" "NI-S080" "NI-S081" "NI-S082" "NI-S083" "NI-S084" "NI-S086" "NI-S087" "NI-S088" "NI-S089" "NI-S090" "NI-S092" "NI-S093" "NI-S094" "NI-S095" "NI-S096" "NI-S097" "NI-S098" "NI-S100" "NI-S101" "NI-S102" "NI-S103" "NI-S104" "NI-S105" "NI-S106" "NI-S107"
"LMV" 0 0 0 3 1 82 0 8 3 1 3 0 0 0 4 1 0 0 0 0 0 0 0 1 0 2 0 0 0 0 2 2 0 1 1 2 1 3 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 11 0 0 2 0 0 0 0 0 0 28 1 0 0 1 6 1 0 1 1 101 0 0 0 1 20 2 2 2 3 0 0 2 0 0 0 1 2 0 12 0 1 0 0 0 0 1 0 0 0 2 1 0 31 1 0 0 1 3 0 5 15 17 0 0 0 7 1 6 0 18 0 0 0 0 0 0 2
"LPV" 0 0 1 1 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 11 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 1 0 2 0 0 0 4 0 1 0 0 0 0 0 1 0 1 2 0 2 13 0 0 0 0 2 2 0 1 0 7 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 3 0 0 0 12 0 0 0 0 0 0 0 0 6 0 0 0 4 0 0 0 0 0 0 5 0 0 1 0
"MeLCV" 0 1 1 1 0 16 1 10 1 4 3 22 0 1 0 46 5 2 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 2 0 0 0 0 1 1 0 0 0 0 0 3 1 1 6 0 0 1 0 0 4 3 2 1 105 5 5 1 2 12 2 1 1 1 2 2 0 1 1 4 0 0 1 10 7 2 3 1 1 0 8 0 16 3 16 2 1 8 0 2 3 1 74 1 11 5 6 23 2 0 11 19 22 1 19 4 5 93 0 1 12 0 103 0 3 1 4 5 0 0 0 8
"MWMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 2 0 69 0 1 0 0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 29 0 0 31 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 95 0 0 1 0 1 1 0 0 5 0 0 0 0
"NoMV" 0 1 1 6 0 0 2 3 0 1 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 8 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 18 0 1 0 0 0 3 0 3 1 2 0 0 0 0 0 2 0 0 0 0 3 1 1 0 2 0 15 1 0 0 2 0 18 0 2 1 1 4 0 0 0 3 4 0 0 1 0 16 0 0 0 0 7 0 0 1 0 0 0 0 1 0 13 1 0 0 0 2 0 0 0 0 0 0 1 0 0 2 0 0 0 0 1 0 0 0 0
"PeMoV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 6 0 2 0 1 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 21 0 0 0 0
"PenMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 2 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1 2 1 0 0 0 0 0 0 2 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 1 0 0 0 4 0 0 0 0 0 1 0 0 0 0 2 41 0 0 2 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"PRSV" 0 0 0 1 0 0 2 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 2 0 1 2 0 3 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 0 0 0 0 0 1 2 1 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 237 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"PtV" 7 0 0 0 0 34 0 0 0 0 8 0 0 0 0 54 1 2 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 2 0 3 0 0 1 0 0 0 0 0 0 0 1 0 5 0 0 0 3 0 0 0 0 1 7 0 0 0 0 1 0 30 4 0 3 0 1 2 0 4 1 0 0 69 10 1 4 1 0 6 1 0 0 1 2 4 1 0 1 5 1 0 1 0 4 0 0 0 0 8 0 0 0 0 0 0 0 0 1 9 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0
"PVA" 0 2 0 0 0 4 1 0 0 1 0 0 0 13 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 1 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 7 0 0 0 0 3 0 0 0 0 0 0 1 1 0 1 3 2 0 0 0 0 0 4 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 1 5 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 3 0 0 0 0 4 0 5 0 0 2 0 0 2 0 0 0 0 0
"PVY" 0 2 1 0 0 7 0 1 11 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 2 0 0 1 0 23 0 0 0 1 0 0 0 0 0 4 0 0 0 1 0 0 0 2 0 3 1 0 1 4 31 0 0 32 2 15 1 37 7 3 2 4 0 23 1 5 1 3 1 1 10 1 0 0 1 26 1 1 2 4 17 0 0 1 0 6 6 26 0 9 4 1 0 2 1 0 1 0 1 6 13 1 5 0 3 18 5 0 5 3 296 1 1 13 0 5 0 1 2 1 6 1 0 0 0
