ID,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,d
AO-S139,36,0.692307692,0.370582992,-0.017483806,0.243243243,0.755656109,0.31372549,0.145978231,0.017905369,1,0,0,0.006711409,0.005119241,13.74023077,3.367619108,29.00937659,0.717198585,0.54550315,0.1394186
AO-S140,38,0.730769231,1.138753778,0.003651415,0.189189189,0.894034209,0.274509804,0.2366096,0.147011894,1,0,0,0.006711409,0.007752833,11.51027926,2.955308618,19.20764963,0.474870568,0.491025139,0.233324369
AO-S141,42,0.807692308,0.661686404,-0.008055086,0.040540541,0.913986928,0.196078431,0.206336235,0.037182247,1,0,0.004546572,0.006711409,0.011101745,11.78732769,3.278613701,26.53895627,0.656122403,0.553268319,0.158184462
AO-S142,40,0.769230769,0.297778725,-0.017555532,0.108108108,0.725490196,0.235294118,0.123532294,0.009912066,1,0,0,0.006711409,0.005547901,15.9443472,3.52050015,33.80132996,0.835670009,0.601379402,0.087189969
AO-S143,36,0.692307692,0.679507952,-0.008902557,0.22972973,0.919934641,0.31372549,0.282063302,0.069635374,1,0,0.00018432,0.006711409,0.014348937,8.966260704,2.789063795,16.26578456,0.402138861,0.413659297,0.260927739
AO-S144,39,0.75,0.38529113,-0.015761766,0.155405405,0.914149444,0.254901961,0.208932026,0.026049004,1,0,0,0.006711409,0.005793207,14.50137866,3.227317954,25.2119466,0.623314754,0.494487412,0.176293012
AO-S145,41,0.788461538,0.113102661,-0.021631642,0.087837838,0.867647059,0.215686275,0.151101321,0.004289099,1,0,0,0.006711409,0.002136867,52.76316469,3.496990616,33.01594467,0.816252935,0.622687404,0.079589627
AO-S148,41,0.788461538,1.083570879,0.002038314,0.060810811,0.876917103,0.215686275,0.192197391,0.056200432,1,0,0.181064144,0.006711409,0.018457455,9.371781447,3.236546805,25.4457009,0.629093859,0.534104239,0.174480657
AO-S149,43,0.826923077,0.271200807,-0.016948818,0.027027027,0.701525054,0.176470588,0.113659952,0.008892466,1,0,0,0.006711409,0.004476049,20.55041464,3.58315976,35.98707191,0.88970809,0.612072639,0.083341811
AO-S150,29,0.557692308,0.66958647,-0.01139357,0.385135135,0.891810842,0.450980392,0.252896106,0.049549826,1,0,0,0.006711409,0.01630437,6.508460382,2.783152524,16.16991674,0.399768722,0.459075421,0.22050063
AO-S151,40,0.769230769,0.989192613,-0.000270185,0.094594595,0.938126362,0.235294118,0.288452186,0.09890283,1,0,0.000368641,0.006711409,0.014542122,9.85403517,2.949415205,19.09478393,0.47208019,0.507358816,0.256641847
AO-S152,41,0.788461538,0.416673242,-0.014227482,0.081081081,0.710084034,0.215686275,0.12577296,0.016114127,1,0,0,0.006711409,0.006070379,14.81546981,3.521804233,33.84543846,0.836760504,0.596694454,0.111347554
AO-S153,39,0.75,1.216988776,0.005563815,0.128378378,0.833094213,0.254901961,0.189395411,0.09033586,1,0,0,0.006711409,0.00948788,10.78853144,3.192559581,24.35067528,0.60202155,0.488418745,0.244354733
AO-S154,42,0.807692308,0.39673048,-0.01436356,0.047297297,0.82254902,0.196078431,0.131199168,0.01668275,1,0,0,0.006711409,0.005689601,16.16883873,3.528489464,34.07246104,0.842373181,0.599204919,0.112351868
AO-S156,45,0.865384615,0.631634892,-0.008185891,0.013513514,0.968431373,0.137254902,0.387864737,0.080277784,1,0,0,0.006711409,0.007501675,15.67530065,2.719212998,15.16838,0.375007737,0.367421465,0.319329901
AO-S157,46,0.884615385,1.090345491,0.001964032,0,0.934640523,0.117647059,0.26101502,0.065280867,1,0,0.042393709,0.006711409,0.01436306,11.7872693,3.073831845,21.62460625,0.534624967,0.467143574,0.217765673
AO-S158,46,0.884615385,0.356037396,-0.013999187,0.006756757,0.748663102,0.117647059,0.112677479,0.010149198,1,0,0,0.006711409,0.004399268,22.42432007,3.627921386,37.63450765,0.930437631,0.594812167,0.09418271
AO-S159,34,0.653846154,0.32270965,-0.019920304,0.283783784,0.912725875,0.352941176,0.25069585,0.017815089,1,0,0,0.006711409,0.009026213,10.16597318,2.89197622,18.0289035,0.445728437,0.480150972,0.143072996
AO-S160,34,0.653846154,1.127332486,0.003745073,0.27027027,0.872210953,0.352941176,0.187296294,0.075843759,1,0,0,0.006711409,0.011219858,8.623440145,3.237673571,25.47438839,0.6298031,0.56222574,0.209304953
AO-S161,43,0.826923077,0.250560212,-0.017428832,0.033783784,0.800356506,0.176470588,0.116694172,0.007984595,1,0,0,0.006711409,0.003859309,23.49435897,3.589535454,36.21724745,0.895398718,0.606749621,0.090553772
AO-S162,41,0.788461538,1.225161251,0.005491738,0.067567568,0.899208806,0.215686275,0.23087772,0.145401067,1,0,0,0.006711409,0.009390181,12.04888238,3.053863587,21.1970832,0.524055318,0.474815873,0.271775975
