Sample,degree,normalised.degree,species.strength,interaction.push.pull,nestedrank,PDI,resource.range,species.specificity.index,PSI,node.specialisation.index.NSI,betweenness,weighted.betweenness,closeness,weighted.closeness,Fisher.alpha,partner.diversity,effective.partners,proportional.generality,proportional.similarity,
MW-S076,21,0.265822785,0.062841064,-0.044626616,0.962441315,0.930769231,0.743589744,0.237518977,0.005446406,1,0.004716981,0,0.004673,0.000987689,26.56186646,2.878306329,17.78412719,0.266181402,0.347120198,0.143949751
MW-S077,48,0.607594937,0.810015628,-0.003958008,0.389671362,0.831600832,0.397435897,0.14146423,0.026459448,1,0.004716981,6.31E-05,0.004673,0.012419405,12.87286042,3.605895972,36.814654,0.551018113,0.617568189,0.116735062
MW-S078,52,0.658227848,0.387132221,-0.011785919,0.286384977,0.87099359,0.346153846,0.156997622,0.014273059,1,0.004716981,0,0.004673,0.004325373,24.80693093,3.58469886,36.04250224,0.539461041,0.531971009,0.132497379
MW-S079,42,0.53164557,0.162011854,-0.019952099,0.563380282,0.891025641,0.474358974,0.171720382,0.007875121,1,0.004716981,0,0.004673,0.002715848,28.80172421,3.45787987,31.74959186,0.475207514,0.561503569,0.115975808
MW-S080,37,0.46835443,0.101970171,-0.024271076,0.737089202,0.899267399,0.538461538,0.177325338,0.00453259,1,0.004716981,0,0.004673,0.001841279,38.67344117,3.395686105,29.83511649,0.446552875,0.533775656,0.103816355
MW-S081,39,0.493670886,0.147382647,-0.021861983,0.647887324,0.860805861,0.512820513,0.173943485,0.006322009,1,0.004716981,0,0.004673,0.002332795,28.69838946,3.391565329,29.71242561,0.444716517,0.502110252,0.125941561
MW-S082,37,0.46835443,0.097165755,-0.024400926,0.732394366,0.921652422,0.538461538,0.188797593,0.004130032,1,0.004716981,0,0.004673,0.001849904,36.58291575,3.358369538,28.74228945,0.430196141,0.562990543,0.092926518
MW-S084,51,0.64556962,0.299721917,-0.013730943,0.323943662,0.930911681,0.358974359,0.191648621,0.016679432,1,0.004716981,0,0.004673,0.002860613,35.09442304,3.513927316,33.57988798,0.502602211,0.562470325,0.143118794
MW-S085,29,0.367088608,0.075621438,-0.031875123,0.877934272,0.862179487,0.641025641,0.175318937,0.00338329,1,0.004716981,0,0.004673,0.001396596,32.26427894,3.256331915,25.95416025,0.388465213,0.474125239,0.102966818
MW-S086,49,0.620253165,0.182076781,-0.016692311,0.38028169,0.824786325,0.384615385,0.123158721,0.004259354,1,0.004716981,0,0.004673,0.002317715,45.55823656,3.742567622,42.2062208,0.631715624,0.638802461,0.070209009
MW-S087,43,0.544303797,0.206097888,-0.01846284,0.525821596,0.853479853,0.461538462,0.155709085,0.006979653,1,0.004716981,0,0.004673,0.002324865,33.70935826,3.530223685,34.1316015,0.510859905,0.544666947,0.112649013
MW-S091,44,0.556962025,0.161615377,-0.019054196,0.502347418,0.814102564,0.448717949,0.134950658,0.004773568,1,0.004716981,0,0.004673,0.002512368,32.64843792,3.625927649,37.55954909,0.562167224,0.599778939,0.082588937
MW-S093,37,0.46835443,0.65409037,-0.009348909,0.718309859,0.898368298,0.538461538,0.175571543,0.025781986,1,0.004716981,0,0.004673,0.012825103,9.279272076,3.367345835,29.00145018,0.434075093,0.565649382,0.139603806
MW-S094,40,0.506329114,0.185141985,-0.02037145,0.605633803,0.886946387,0.5,0.171406948,0.006666031,1,0.004716981,0,0.004673,0.003056847,22.98561278,3.400766351,29.98707188,0.448827246,0.515153248,0.114139519
MW-S095,49,0.620253165,0.678393832,-0.006563391,0.375586854,0.906593407,0.384615385,0.185957467,0.032343932,1,0.004716981,0.001703981,0.004673,0.011626612,13.83326904,3.397237974,29.88145263,0.447246405,0.554554812,0.148769494
MW-S097,30,0.379746835,0.07574926,-0.030808358,0.863849765,0.907692308,0.628205128,0.179910508,0.003441515,1,0.004716981,0,0.004673,0.001170184,50.39443084,3.280614747,26.59211511,0.398013712,0.482281041,0.09828948
MW-S098,44,0.556962025,0.257972132,-0.01686427,0.497652582,0.841880342,0.448717949,0.145676045,0.008501023,1,0.004716981,0,0.004673,0.003022076,25.05761509,3.568425892,35.46073017,0.53075345,0.569001778,0.114256387
