"MO-AS003" "MO-CS019" "MO-CS025" "MO-CS085" "ZW-S001" "ZW-S002" "ZW-S006" "ZW-S007" "ZW-S008" "ZW-S009" "ZW-S010" "ZW-S011" "ZW-S012" "ZW-S025" "ZW-S026" "ZW-S027" "ZW-S028" "ZW-S029" "ZW-S030" "ZW-S031" "ZW-S032" "ZW-S033" "ZW-S034" "ZW-S035" "ZW-S036" "ZW-S037" "ZW-S038" "ZW-S039" "ZW-S040" "ZW-S041" "ZW-S042" "ZW-S043" "ZW-S044" "ZW-S045" "ZW-S046" "ZW-S047" "ZW-S048" "ZW-S049" "ZW-S050" "ZW-S051" "ZW-S052" "ZW-S053" "ZW-S054" "ZW-S055" "ZW-S056" "ZW-S057" "ZW-S058" "ZW-S059" "ZW-S060" "ZW-S061" "ZW-S062" "ZW-S063" "ZW-S064" "ZW-S065" "ZW-S066" "ZW-S067" "ZW-S068" "ZW-S069" "ZW-S070" "ZW-S071" "ZW-S072" "ZW-S073" "ZW-S074" "ZW-S075" "ZW-S076" "ZW-S077" "ZW-S078" "ZW-S079" "ZW-S080" "ZW-S081" "ZW-S082" "ZW-S083" "ZW-S084" "ZW-S085" "ZW-S086" "ZW-S087" "ZW-S089" "ZW-S090" "ZW-S091" "ZW-S092" "ZW-S093" "ZW-S094" "ZW-S095" "ZW-S096" "ZW-S097" "ZW-S098" "ZW-S099" "ZW-S100" "ZW-S101" "ZW-S102" "ZW-S103" "ZW-S104" "ZW-S105" "ZW-S106" "ZW-S107" "ZW-S108" "ZW-S109" "ZW-S110" "ZW-S111" "ZW-S112" "ZW-S113" "ZW-S114" "ZW-S115" "ZW-S116" "ZW-S117" "ZW-S118" "ZW-S119" "ZW-S120" "ZW-S121" "ZW-S122" "ZW-S123" "ZW-S124" "ZW-S125" "ZW-S126" "ZW-S127" "ZW-S128" "ZW-S129" "ZW-S130" "ZW-S131" "ZW-S132" "ZW-S133" "ZW-S134" "ZW-S135" "ZW-S136" "ZW-S137" "ZW-S138" "ZW-S139" "ZW-S140" "ZW-S141" "ZW-S142" "ZW-S143" "ZW-S144" "ZW-S145" "ZW-S146" "ZW-S147" "ZW-S148" "ZW-S149" "ZW-S150"
"GLRaV-1" 0 0 0 1 2 1 0 0 1 0 2 0 0 0 4 10 0 3 5 0 1 0 0 5 0 1 0 1 0 2 2 0 0 2 0 0 0 2 0 0 0 1 1 1 0 1 0 0 0 0 1 0 7 0 0 2 0 13 0 0 0 1 1 0 4 0 1 0 0 1 0 3 0 0 2 7 12 98 0 1 1 1 0 0 0 9 3 0 8 0 0 0 2 1 23 0 0 3 3 2 1 1 2 1 0 0 1 2 0 0 0 4 0 0 0 1 6 0 1 0 0 3 3 0 2 4 0 0 1 0 0 2 0 1 0 0 0 0
"GLRaV-10" 0 0 0 0 2 0 0 0 0 3 0 0 1 0 0 0 0 21 3 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 1 0 2 0 0 0 0 0 0 0 0 1 4 2 0 0 0 1 0 4 0 0 2 1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1 0 3 0 0 1 0 0 0 4 1 0 0 0 0 5 1 2 3 2 0 0 20 0 1 0 0 0 0 0 1
"HarMV" 0 0 0 0 1 5 0 19 0 0 0 0 1 4 3 10 2 3 7 0 0 0 0 0 0 1 5 0 0 1 4 0 3 2 1 2 0 13 1 2 0 4 1 0 0 0 9 1 0 2 0 0 25 0 0 0 0 0 3 0 0 1 1 0 0 0 3 0 0 0 0 1 0 1 0 0 1 0 1 0 1 24 0 0 0 0 20 0 0 8 1 1 1 0 5 3 0 0 0 0 0 1 0 0 1 0 0 2 0 1 0 0 2 2 0 1 1 0 0 0 0 102 0 2 1 32 3 0 1 1 0 3 0 0 0 0 0 2
"HBV-GD1" 1 0 0 0 0 0 0 1 2 3 0 1 2 3 0 7 2 2 4 0 0 0 0 1 0 1 1 0 0 1 0 0 1 0 1 3 1 0 7 0 0 0 2 0 0 0 0 1 2 2 8 0 0 0 2 12 1 0 0 0 2 5 0 1 2 0 7 0 0 0 0 2 5 0 1 0 0 8 5 0 0 17 1 3 5 0 0 0 0 1 0 1 0 0 2 0 0 0 1 0 0 1 3 0 0 0 0 5 0 2 1 5 4 0 0 0 2 5 1 3 0 0 2 0 1 0 1 1 3 0 0 0 0 0 0 0 0 1
"IYVV" 1 1 1 1 14 40 1 2 0 4 5 5 11 3 5 9 1 3 2 1 1 3 0 0 0 2 2 1 1 1 1 0 1 4 2 1 4 2 1 1 11 1 2 3 1 3 7 4 1 2 4 0 21 2 5 24 15 10 0 0 0 1 1 1 1 0 1 0 3 1 0 0 1 1 1 1 2 7 5 5 1 9 1 0 0 15 3 0 31 2 0 6 2 1 26 7 4 2 1 1 0 6 5 3 0 1 1 1 0 1 0 3 3 0 1 4 6 0 0 2 0 1 1 1 14 8 3 1 2 1 0 0 1 1 1 0 1 1
"LMV" 2 1 1 1 3 0 1 0 0 0 0 5 5 1 4 1 0 5 3 0 0 4 0 4 0 1 2 0 0 1 0 0 2 4 3 3 1 0 0 0 4 1 0 0 0 0 6 3 0 0 2 0 62 0 2 2 0 0 0 0 0 0 1 1 2 0 5 1 2 2 1 1 0 2 2 4 2 1 1 10 1 2 0 3 0 3 1 0 4 2 0 0 0 0 0 3 3 8 4 0 0 0 0 0 1 1 0 1 1 2 2 1 2 0 0 0 0 0 2 1 0 1 0 0 9 2 2 0 0 4 0 1 0 1 1 0 0 3
"LPV" 0 0 0 0 0 0 1 2 0 0 0 4 1 0 6 2 1 3 1 0 2 2 1 0 0 1 0 0 0 1 0 1 6 1 0 3 1 0 0 0 1 2 0 4 1 2 1 0 0 3 3 0 0 0 3 0 3 0 0 0 0 0 0 1 0 1 0 0 0 0 0 4 0 0 0 0 0 2 1 0 7 10 0 2 0 1 0 0 1 2 0 1 0 0 0 2 0 0 0 0 0 4 1 0 0 0 1 0 0 0 5 0 0 4 0 0 0 1 1 1 0 0 0 0 3 0 0 5 5 9 0 1 1 0 5 0 3 0
"MeLCV" 0 1 5 0 3 21 0 4 0 1 1 6 2 13 3 3 14 2 4 0 1 4 6 1 1 5 11 0 1 4 1 0 1 1 5 2 0 1 2 0 1 1 8 12 0 1 1 1 6 9 2 1 62 2 3 33 2 22 1 1 2 0 1 1 0 1 2 1 0 1 0 0 0 4 0 1 7 1 1 11 0 23 1 3 2 4 1 0 16 1 0 1 2 6 23 7 1 1 4 0 1 4 1 4 1 1 1 2 0 0 1 2 1 0 0 0 2 1 0 0 0 1 2 0 2 8 5 2 2 4 0 0 0 1 1 0 1 2
"MWMV" 0 0 0 0 2 6 1 0 0 2 3 2 1 3 2 40 1 2 25 2 1 3 1 0 0 0 2 1 0 3 2 0 4 5 2 5 1 1 2 1 1 1 7 20 0 0 1 1 1 4 2 1 44 2 1 21 10 11 0 0 1 1 1 1 1 2 3 0 0 1 0 0 2 1 2 1 3 5 1 3 2 6 1 8 2 4 3 0 106 9 1 20 0 0 4 2 4 1 2 0 1 1 0 0 5 0 0 2 0 0 1 2 6 0 0 2 2 1 0 6 1 0 1 1 17 5 3 0 1 10 0 1 0 1 8 1 1 2
"NoMV" 0 0 0 0 1 0 0 7 4 1 0 1 12 12 12 12 0 3 2 0 8 0 0 0 0 0 0 0 1 2 0 0 1 1 4 5 0 0 1 35 0 0 1 0 0 0 0 0 22 7 1 0 0 2 0 6 2 1 0 0 3 1 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 4 1 0 0 13 1 4 3 0 0 0 9 2 0 5 0 0 4 2 1 0 8 0 2 0 1 0 0 0 0 1 0 1 1 2 5 0 1 2 0 1 2 1 0 0 5 0 0 0 1 10 3 1 0 1 0 0 0 0 1 3
