"MO-AS001" "MO-AS015" "MO-AS020" "MO-AS068" "MO-AS082" "MO-BS038" "MO-BS044" "MO-BS047" "MO-BS062" "MW-S001" "MW-S002" "MW-S003" "MW-S004" "MW-S008" "MW-S009" "MW-S010" "MW-S011" "MW-S012" "MW-S013" "MW-S014" "MW-S018" "MW-S019" "MW-S020" "MW-S021" "MW-S022" "MW-S023" "MW-S025" "MW-S027" "MW-S028" "MW-S029" "MW-S030" "MW-S031" "MW-S032" "MW-S033" "MW-S034" "MW-S037" "MW-S038" "MW-S039" "MW-S042" "MW-S044" "MW-S045" "MW-S046" "MW-S047" "MW-S048" "MW-S049" "MW-S050" "MW-S051" "MW-S052" "MW-S053" "MW-S054" "MW-S055" "MW-S056" "MW-S057" "MW-S058" "MW-S059" "MW-S060" "MW-S061" "MW-S062" "MW-S063" "MW-S064" "MW-S065" "MW-S066" "MW-S067" "MW-S068" "MW-S069" "MW-S071" "MW-S073" "MW-S074" "MW-S075" "MW-S076" "MW-S077" "MW-S078" "MW-S079" "MW-S080" "MW-S081" "MW-S082" "MW-S084" "MW-S085" "MW-S086" "MW-S087" "MW-S091" "MW-S093" "MW-S094" "MW-S095" "MW-S097" "MW-S098" "MW-S099" "MW-S100" "MW-S101" "MW-S102" "MW-S103" "MW-S104" "MW-S109" "MW-S115" "MW-S116" "MW-S117" "MW-S118" "MW-S119" "MW-S120" "MW-S121" "MW-S123" "MW-S124" "MW-S125" "MW-S126" "MW-S127" "MW-S128" "MW-S129" "TZ1" "TZ10" "TZ100" "TZ101" "TZ102" "TZ103" "TZ104" "TZ105" "TZ106" "TZ107" "TZ108" "TZ109" "TZ110" "TZ111" "TZ112" "TZ114" "TZ115" "TZ116" "TZ15" "TZ17" "TZ18" "TZ19" "TZ2" "TZ20" "TZ22" "TZ23" "TZ24" "TZ29" "TZ3" "TZ31" "TZ32" "TZ33" "TZ34" "TZ35" "TZ36" "TZ37" "TZ38" "TZ39" "TZ40" "TZ41" "TZ42" "TZ43" "TZ44" "TZ45" "TZ46" "TZ47" "TZ48" "TZ49" "TZ51" "TZ52" "TZ54" "TZ55" "TZ57" "TZ58" "TZ59" "TZ60" "TZ61" "TZ62" "TZ63" "TZ64" "TZ65" "TZ66" "TZ67" "TZ68" "TZ69" "TZ70" "TZ71" "TZ72" "TZ73" "TZ74" "TZ75" "TZ76" "TZ77" "TZ78" "TZ79" "TZ80" "TZ81" "TZ82" "TZ83" "TZ84" "TZ85" "TZ86" "TZ87" "TZ88" "TZ89" "TZ9" "TZ90" "TZ91" "TZ92" "TZ93" "TZ94" "TZ95" "TZ96" "TZ97" "TZ98" "TZ99" "ZW-S013" "ZW-S014" "ZW-S015" "ZW-S016" "ZW-S017" "ZW-S018" "ZW-S019" "ZW-S020" "ZW-S021" "ZW-S023" "ZW-S024"
"SCBV" 21 1 2 6 0 1 0 1 0 5 4 1 1 0 1 1 0 1 0 2 3 0 0 0 1 1 13 2 1 1 0 4 1 1 0 0 0 3 1 0 1 1 0 0 5 2 2 1 0 0 1 1 3 0 5 0 0 0 2 3 1 2 1 2 0 0 2 2 0 0 37 8 1 0 0 1 0 1 0 1 4 0 1 8 0 1 2 0 3 1 1 0 4 71 39 0 0 3 1 0 5 0 2 4 0 1 0 1 1 12 14 0 0 0 4 1 17 3 8 1 0 19 1 6 6 0 0 0 1 0 0 0 1 0 4 1 1 2 11 6 5 2 0 1 6 8 2 1 3 1 1 4 2 2 7 1 2 33 0 1 0 25 0 0 2 2 1 1 1 0 1 0 1 0 1 3 1 2 2 2 0 0 8 0 2 1 5 4 2 2 2 0 0 1 0 0 0 3 0 5 4 12 1 0 3 2 1 1 2 2 1 0 2 9
"SCMV" 13 0 2 0 0 0 0 0 0 5 0 0 2 0 4 0 1 1 1 1 0 0 0 0 1 0 0 2 0 8 1 0 0 0 0 1 0 2 3 0 0 0 0 1 2 0 6 0 9 0 0 0 4 0 1 0 0 1 0 9 0 9 6 2 0 3 0 0 0 1 6 0 1 0 1 0 2 0 1 0 6 8 0 56 5 0 2 2 3 6 0 0 0 5 0 0 2 1 0 0 0 0 0 7 3 1 0 4 0 2 19 2 0 0 2 3 0 0 3 1 1 13 0 0 17 0 0 0 0 1 1 0 0 0 6 0 0 0 0 1 3 0 1 0 0 4 0 1 2 1 0 4 0 5 1 45 1 29 0 0 0 6 0 2 0 1 3 2 0 0 0 0 0 0 0 0 1 7 3 1 0 0 1 62 7 2 0 2 1 1 0 1 0 0 0 0 3 0 0 0 1 0 7 0 0 0 1 1 2 0 1 3 1 1
"SPBgV" 34 0 1 3 1 0 0 0 9 4 1 1 1 0 2 0 1 17 0 4 2 1 1 0 2 3 0 1 7 2 2 3 0 6 0 0 1 17 1 0 1 0 0 2 5 3 3 0 27 2 5 1 1 1 1 1 0 2 0 0 0 1 6 2 5 8 2 3 2 0 14 5 1 0 1 1 1 1 2 0 2 2 1 1 0 0 1 5 7 1 1 1 4 3 1 4 2 4 1 1 0 28 1 1 0 1 0 0 0 33 3 2 0 0 2 2 8 9 2 0 1 14 0 44 31 0 1 12 1 0 1 1 2 0 3 6 12 1 1 1 12 3 1 1 16 3 1 2 4 1 1 4 1 1 7 20 9 21 18 7 2 0 31 2 5 1 1 1 0 0 0 1 0 0 4 7 1 4 12 0 0 0 1 4 0 1 0 1 1 3 0 0 0 2 2 2 0 1 1 8 0 2 4 2 9 4 3 3 1 2 2 0 3 4
"SPC6V" 6 0 0 0 2 1 0 0 1 4 0 0 0 2 2 1 1 2 0 1 2 14 1 0 1 3 1 1 1 2 1 5 0 5 1 0 2 4 1 1 0 1 0 1 2 2 9 2 8 1 1 2 1 1 1 2 0 1 0 1 1 4 24 5 2 69 4 2 25 1 21 1 1 1 1 1 8 0 3 2 1 55 0 2 0 4 1 4 6 7 0 1 3 16 2 4 1 4 0 0 1 3 2 2 0 2 1 0 1 1 3 2 2 0 2 1 2 1 1 0 2 27 0 1 14 0 1 7 3 2 0 1 5 0 0 3 1 3 2 0 14 9 3 5 5 2 2 1 7 2 1 3 1 11 4 8 2 20 480 4 1 5 52 0 2 1 1 1 1 1 2 2 4 0 3 25 1 6 1 1 1 0 1 16 0 1 5 1 17 1 1 1 2 2 3 2 1 0 0 2 4 4 8 1 3 1 1 1 4 3 1 2 4 9
"SPCFV" 24 0 4 0 1 0 1 2 8 7 2 0 0 0 0 1 1 3 0 8 1 11 0 0 2 3 3 6 2 1 1 3 1 4 1 0 5 14 1 1 0 1 1 1 5 19 5 1 14 1 2 0 1 0 12 1 0 1 1 1 1 4 10 4 5 41 14 2 2 0 14 3 2 1 1 1 1 0 2 1 1 19 1 6 1 3 6 5 7 1 0 1 5 14 2 3 0 2 0 0 0 2 0 4 1 3 0 1 0 26 1 1 2 0 9 3 7 8 1 1 1 1 1 1 23 0 3 3 3 0 0 3 3 1 3 3 0 4 3 1 13 11 1 9 21 2 3 1 7 6 1 4 8 7 1 25 7 38 34 2 1 39 33 1 2 2 1 3 1 0 1 3 5 1 3 2 0 4 2 1 1 1 1 3 2 1 1 1 8 1 1 2 2 3 8 1 0 0 1 4 3 2 5 0 2 0 1 1 0 1 1 10 9 3
"SPCSV" 7 0 2 5 1 2 0 1 39 2 1 2 1 1 0 2 4 1 0 1 0 30 0 0 1 0 1 1 1 1 1 8 0 1 1 0 1 10 5 2 0 0 1 1 1 8 4 2 16 0 2 1 2 1 4 1 0 0 1 1 1 5 7 10 6 15 4 2 10 0 9 1 3 0 1 1 1 1 2 1 4 8 4 5 1 4 6 7 2 2 0 1 2 62 1 4 2 1 1 0 1 1 2 2 1 2 1 0 1 10 6 1 5 0 9 1 2 4 4 1 1 3 2 6 5 1 0 1 3 1 0 1 0 1 1 2 0 5 5 1 2 7 1 1 16 12 6 0 3 11 2 1 4 4 4 29 1 29 78 3 2 17 26 2 1 2 1 3 1 0 2 3 1 0 4 18 0 3 1 1 0 0 0 2 3 1 3 3 3 6 1 1 3 3 10 0 0 1 1 2 11 2 9 2 1 7 1 2 0 4 1 10 7 8
"SPCV" 2 1 2 10 0 1 0 1 7 2 0 0 0 0 1 4 1 2 0 25 0 11 0 1 3 2 3 12 1 1 0 0 1 1 1 0 4 5 4 0 0 1 1 1 3 7 2 1 13 1 2 1 1 2 12 1 1 0 1 3 1 6 55 6 2 63 2 5 1 0 6 7 1 0 1 2 1 1 2 1 2 21 5 21 1 1 1 4 3 4 1 2 2 9 1 2 1 1 1 0 1 5 3 4 2 3 0 0 1 10 5 1 2 0 4 1 3 1 1 0 1 20 3 1 11 0 5 0 1 1 3 3 2 2 4 1 1 2 0 1 3 11 2 8 7 10 1 0 7 9 3 3 5 2 3 19 4 31 102 2 6 50 21 2 1 2 2 2 1 3 1 1 5 0 8 3 0 2 6 1 0 0 2 2 4 1 2 1 8 6 2 1 1 1 6 1 1 1 2 2 2 1 4 1 1 3 1 2 1 5 1 11 8 2
"SPFMV" 10 0 1 18 0 1 1 0 253 2 1 0 1 0 2 3 3 1 0 8 1 15 1 0 3 1 1 5 3 2 1 1 1 5 0 0 0 1 4 1 0 0 0 1 1 3 1 2 23 1 0 1 1 0 9 3 1 0 1 6 1 1 29 4 5 67 1 4 4 0 8 3 1 1 0 2 1 1 2 1 5 23 1 6 1 6 2 3 2 5 0 1 1 7 2 3 2 4 0 2 0 2 4 4 2 1 0 0 1 5 20 1 4 0 2 9 2 3 1 1 1 18 2 4 5 0 3 3 1 2 0 4 1 1 2 5 1 3 1 2 13 3 2 1 1 9 2 1 3 1 2 1 2 2 4 40 4 6 71 2 1 37 113 4 0 1 4 3 0 1 1 3 6 0 6 8 1 3 2 1 1 0 1 2 3 1 1 4 9 2 1 1 4 1 4 0 1 0 2 1 1 3 7 2 5 1 5 1 1 7 1 13 2 3
"SPGVaV" 16 0 0 3 0 1 0 1 174 1 0 1 1 1 3 6 1 0 0 7 1 2 0 0 1 0 0 1 0 0 1 5 2 1 1 0 5 1 1 0 3 1 1 1 5 2 3 1 0 1 0 1 2 1 7 2 0 0 4 5 2 3 47 1 5 28 3 4 3 0 19 6 1 1 0 1 2 1 2 5 1 7 6 3 1 1 1 2 9 3 0 1 3 3 2 3 1 1 1 1 2 4 2 1 1 1 1 0 0 3 2 0 4 1 4 2 0 2 2 1 1 18 1 1 1 0 1 1 0 1 0 0 0 0 1 1 0 3 2 3 3 7 2 10 1 3 3 4 14 6 5 4 2 3 2 1 4 10 163 2 2 14 62 1 0 3 2 5 1 1 0 4 3 0 9 11 0 6 6 0 1 0 1 5 0 1 12 1 2 6 1 3 1 1 2 1 0 0 1 4 1 5 3 2 2 4 5 4 1 2 0 8 3 7
"SPLCV" 1 0 1 3 1 1 1 2 10 10 0 0 2 1 3 1 2 1 0 10 3 4 1 1 1 6 1 3 0 3 1 4 1 4 0 0 4 4 2 2 0 2 0 1 2 6 4 1 2 1 4 0 2 0 3 3 1 0 1 1 1 1 13 2 4 57 2 1 3 0 2 9 5 2 0 1 4 1 0 2 3 24 3 1 2 3 2 3 3 2 1 0 2 8 2 3 1 5 1 0 1 5 6 1 1 1 1 0 0 4 2 1 2 0 8 3 9 1 2 2 1 24 1 2 7 0 1 6 1 1 2 1 4 0 1 1 3 2 3 3 8 3 1 5 7 5 7 0 14 3 1 3 6 3 2 3 11 30 20 3 0 2 80 1 1 1 0 2 0 1 1 2 10 0 1 6 0 1 5 2 1 0 1 9 3 0 8 2 10 6 0 2 2 1 3 1 0 1 1 2 1 2 5 1 4 4 3 2 1 8 1 5 2 9
"SPLV" 4 0 1 1 1 0 0 0 7 2 1 0 0 0 3 0 3 1 0 1 1 1 0 0 2 6 0 0 1 0 13 6 0 1 0 0 1 0 0 1 0 0 0 0 0 0 1 0 2 0 0 0 1 3 0 0 0 0 1 2 1 5 5 2 0 0 0 0 1 0 6 7 1 0 0 1 1 2 1 2 1 0 0 3 1 6 1 11 4 2 0 0 1 0 0 6 4 0 0 0 0 0 0 1 0 6 0 0 0 16 0 0 0 0 1 1 0 3 0 0 0 15 0 1 0 0 0 0 0 0 1 1 0 0 1 2 58 3 1 2 1 1 1 2 5 0 1 0 3 0 0 0 0 0 5 12 5 7 0 5 10 0 24 0 0 6 11 4 0 0 0 0 0 0 1 14 0 6 1 0 0 0 0 1 0 1 0 1 6 4 0 2 0 0 0 1 0 1 1 1 1 0 3 0 3 0 2 1 1 0 0 3 0 3
"SPMMV" 6 0 1 1 1 1 0 2 12 3 0 1 3 0 1 1 10 0 0 2 0 2 1 1 2 1 1 1 1 2 0 15 1 1 0 0 2 10 1 1 1 0 2 0 1 0 2 1 21 5 1 0 3 0 2 1 1 0 1 1 0 23 98 3 4 2 4 3 1 0 1 1 4 1 0 1 0 1 1 1 0 27 11 2 0 2 1 1 14 9 1 0 2 19 2 0 3 1 1 2 0 3 2 2 0 2 0 0 0 7 2 1 1 0 19 4 1 3 1 3 1 16 0 2 1 0 1 2 0 1 1 2 1 1 1 1 2 5 5 1 4 4 2 3 21 3 6 2 2 15 1 2 1 4 1 17 15 24 13 4 1 16 45 4 1 4 1 1 1 2 1 3 2 1 7 1 1 1 1 2 1 0 1 2 1 0 2 1 7 8 1 0 1 1 1 2 2 2 0 1 6 4 1 4 2 3 6 0 2 3 1 7 4 3
"SPMV" 11 0 2 2 1 1 3 1 3 10 0 1 0 0 0 4 1 1 0 6 0 28 1 1 2 3 2 16 1 1 0 3 1 3 1 0 1 2 1 0 0 1 1 0 1 5 5 1 9 2 0 0 3 1 2 1 1 0 1 1 1 1 8 1 3 93 19 1 7 0 21 0 1 1 2 2 2 1 6 1 2 11 0 4 0 4 1 4 3 8 0 0 4 21 2 2 6 2 0 1 1 10 2 2 1 3 0 0 0 10 5 1 2 1 6 1 4 2 3 0 0 6 3 2 4 0 1 1 1 1 1 1 4 7 4 2 0 1 3 1 18 5 5 3 3 2 4 1 4 8 1 2 2 7 3 24 9 7 17 6 2 5 23 2 0 2 0 2 0 0 0 1 3 1 2 3 0 8 0 0 1 1 2 5 18 2 2 1 3 0 1 0 2 1 5 1 2 0 1 6 4 4 4 3 1 4 3 1 2 5 0 14 10 2
"SPPV" 27 0 1 10 1 0 2 1 113 12 0 1 1 0 1 2 1 1 0 7 0 11 1 0 3 3 1 3 1 6 0 2 0 3 0 0 1 2 1 1 1 2 0 2 1 3 6 1 19 1 1 1 2 0 12 1 1 1 0 9 0 2 6 4 2 58 10 3 1 0 12 3 2 2 0 3 1 0 2 4 2 11 1 13 2 1 3 1 1 7 0 0 2 4 2 1 2 1 1 3 1 1 2 1 0 3 1 1 0 5 11 1 0 1 5 4 16 1 2 1 1 8 1 2 7 0 2 1 1 1 1 5 3 1 2 2 2 1 2 1 9 1 2 2 3 3 5 3 11 3 5 2 1 7 3 33 4 11 37 3 2 51 18 4 3 1 6 1 0 0 1 1 5 1 6 2 0 4 2 1 2 0 3 2 2 1 9 1 4 1 2 2 1 2 1 0 1 1 1 2 1 3 1 2 1 3 9 1 0 4 0 1 10 14
"SPSMV-1" 4 0 2 8 1 1 2 0 94 8 0 1 2 0 3 6 1 2 0 8 1 9 1 4 2 1 5 3 2 1 0 2 2 2 0 0 3 1 2 1 1 1 1 2 6 3 1 0 12 2 1 1 3 0 2 0 1 1 1 4 0 2 20 6 4 67 11 1 0 1 12 2 1 1 0 1 0 1 1 1 0 13 5 22 0 2 2 9 1 2 1 3 10 18 4 5 2 1 0 0 1 2 4 2 1 2 1 0 0 12 8 2 2 1 3 3 11 2 2 1 0 23 4 1 9 0 2 3 1 1 8 3 1 3 2 4 0 1 1 5 5 2 2 6 2 4 4 2 4 8 5 7 2 1 1 21 8 23 45 5 1 8 16 2 2 1 3 1 0 1 1 2 6 1 1 1 1 4 2 0 1 0 1 1 2 0 2 0 5 7 3 1 2 1 13 0 0 1 3 8 3 5 10 2 1 1 0 2 0 6 0 9 5 12
"SPV2" 9 0 1 0 1 0 1 0 114 15 1 0 1 0 0 5 4 3 0 3 1 53 0 2 2 2 2 1 2 2 0 3 0 1 1 0 2 1 2 1 1 2 1 1 1 8 7 0 4 0 0 0 2 0 3 1 1 1 3 1 3 1 16 8 5 267 2 1 1 0 6 12 1 2 2 0 7 0 1 1 2 12 6 18 1 1 2 3 3 4 1 0 5 8 1 2 4 3 0 0 2 5 2 1 0 0 1 0 0 2 2 1 1 0 1 7 10 3 0 1 0 2 2 5 15 0 1 6 1 0 2 1 2 1 0 3 1 1 1 2 3 4 1 4 3 3 4 1 11 6 1 2 3 10 1 9 13 19 3 3 1 12 0 3 4 5 1 5 0 1 2 1 4 0 2 2 1 2 9 0 1 1 1 15 0 1 2 2 2 6 2 2 0 1 10 1 1 1 0 4 1 2 4 4 3 4 1 2 2 1 0 1 1 9
"SPVC" 14 1 3 5 1 2 1 0 53 0 0 0 1 0 2 2 4 0 0 9 1 20 1 2 1 3 4 3 2 4 0 6 3 1 1 0 3 4 1 1 4 1 0 1 2 8 2 0 5 5 1 0 2 1 1 1 1 1 1 4 3 9 12 1 1 48 6 3 2 1 5 1 1 1 1 1 2 0 1 2 3 14 4 20 0 0 4 4 3 2 1 0 3 3 1 1 1 0 0 2 2 2 2 1 2 0 0 0 2 21 6 2 5 0 3 2 0 3 1 2 0 18 1 7 3 0 4 4 1 2 11 1 1 8 1 2 1 1 3 6 3 5 1 6 6 3 5 9 8 2 5 2 5 2 1 8 23 14 23 3 3 5 39 3 3 2 3 7 1 1 0 0 4 1 5 5 1 1 1 0 1 0 1 7 1 1 4 2 5 7 2 0 0 3 5 1 0 1 0 3 1 2 1 1 0 2 6 5 0 3 0 16 1 2
"SPVCV" 32 0 3 2 0 1 2 1 70 2 1 1 0 0 0 0 4 1 0 4 0 11 0 1 1 3 8 2 0 3 0 1 2 6 1 0 1 8 1 0 2 1 1 3 0 6 4 1 7 2 1 0 1 1 1 1 1 1 3 5 1 3 16 10 1 31 3 3 0 1 3 1 1 1 2 3 1 2 1 1 4 14 6 5 0 1 3 2 12 1 1 2 2 50 1 1 1 2 0 2 2 6 1 1 1 1 0 1 0 18 2 1 2 1 3 2 2 6 3 0 1 2 0 6 7 0 1 0 1 0 2 1 3 5 1 1 1 1 1 4 17 10 0 3 12 3 1 5 6 7 6 0 4 5 1 12 10 11 37 1 3 6 26 3 2 5 3 2 0 1 2 1 3 0 6 0 1 1 1 1 1 1 3 3 10 0 2 3 6 9 1 1 1 1 3 2 0 1 3 1 9 1 3 1 2 1 6 5 1 1 0 7 4 5
"SPVE" 17 0 1 1 0 0 0 0 79 11 2 0 1 0 5 0 1 1 1 16 1 23 1 1 1 1 0 3 1 3 0 4 1 5 0 0 3 6 2 1 3 0 1 2 2 7 5 0 19 5 1 1 1 1 3 1 1 6 2 1 3 3 33 2 1 21 16 2 1 0 12 1 2 1 1 1 3 2 4 1 1 3 4 11 1 2 4 2 2 1 1 1 3 23 1 1 3 3 0 2 2 1 0 2 1 1 0 0 0 8 1 1 1 0 1 3 16 10 1 1 0 30 0 1 9 0 3 2 1 2 2 1 1 0 2 1 2 1 3 2 15 1 0 7 9 6 4 6 3 6 4 2 4 6 1 32 28 8 46 2 4 14 25 3 14 3 1 8 0 1 0 1 2 2 3 2 1 4 1 1 1 1 1 8 10 2 3 1 1 4 1 1 1 2 2 0 0 1 1 2 4 1 3 3 3 2 7 6 0 0 1 7 3 3
"SPVF" 0 0 0 12 0 1 1 0 0 21 2 0 0 0 0 0 0 6 0 0 0 0 0 0 2 2 16 3 3 0 0 0 0 4 0 0 1 0 1 0 2 0 0 1 1 0 2 0 1 2 0 0 1 0 6 0 0 1 1 4 5 1 0 7 0 0 1 1 1 0 11 0 2 3 0 2 2 3 0 1 1 0 0 1 1 0 65 1 1 1 1 0 0 0 6 1 1 2 1 1 1 0 0 1 0 2 0 4 0 0 22 0 0 0 2 0 4 18 1 0 0 0 0 0 24 0 0 0 0 0 2 0 2 1 3 0 0 1 0 0 4 4 0 0 1 5 2 8 1 12 6 1 1 1 1 0 5 0 0 0 0 11 0 0 5 1 0 16 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 5 0 0 6 1 0 1 0 0 0 0 0 0 0 0 1 1 0 0 5 0 3 1 5 2 0 1 0 0 0 1
"SPVG" 12 0 1 7 0 0 1 1 82 12 2 0 0 0 2 1 1 2 0 6 0 8 0 0 0 2 5 11 0 2 0 8 0 1 1 1 5 4 3 2 1 1 0 0 2 2 5 0 14 2 2 0 0 1 5 2 1 4 1 3 2 2 26 6 1 75 19 1 2 0 13 3 1 1 6 3 1 2 1 3 1 4 1 29 1 1 3 4 1 3 1 2 3 25 6 5 2 1 0 2 1 5 1 3 0 1 0 0 1 6 7 0 1 1 7 3 16 9 0 0 1 13 1 1 11 0 2 0 1 0 1 0 2 4 6 1 1 1 5 0 3 5 5 12 6 7 8 2 3 3 0 2 1 7 1 25 10 40 13 0 4 22 55 2 8 1 2 6 0 1 1 1 6 2 2 4 0 4 2 1 1 3 2 2 10 1 7 1 2 2 3 1 1 2 6 0 1 1 2 3 4 8 9 2 1 1 5 3 1 2 1 3 2 2
"SPVY" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 3 2 7 3 15 0 2 1 4 1 2 1 1 8 29 1 2 2 5 0 1 1 8 0 2 0 1 0 1 1 18 2 4 2 0 11 3 26 3 1 0 0 7 3 1 20 0 1 5 0 0 1 1 0 1 4 1 0 1 2 2 7 11 1 7 3 2 4 6 6 4 1 5 4 2 1 2 3 39 24 1 1 4 33 1 4 1 3 14 0 0 1 0 1 1 12 9 0 2 3 1 0 2 1 7 3 0 5 2 2 3 1 1 0 0 3 0 0 1 2 13 5 2 2 2 4 1 3 3 2 0 1 2 2 4
"SPYMV" 0 0 2 3 1 1 1 0 0 10 1 1 0 1 0 1 0 1 0 8 1 1 0 1 2 2 10 10 0 0 1 4 1 1 1 0 1 1 1 0 1 0 1 3 8 2 3 0 21 0 0 1 5 2 4 2 2 1 1 2 0 2 7 7 2 26 4 5 1 0 15 3 2 1 3 1 2 2 1 2 3 5 5 39 0 2 2 4 3 2 1 7 7 7 6 2 5 1 0 1 3 3 1 2 1 0 0 0 1 8 8 3 5 0 2 1 10 5 2 1 1 6 1 1 9 0 1 3 0 1 3 3 2 2 5 1 0 2 3 1 4 6 0 4 1 2 1 1 1 5 6 8 1 4 1 46 1 8 51 8 7 16 68 5 3 1 1 0 0 0 1 1 5 1 8 1 0 4 3 1 1 2 1 6 9 1 6 2 2 8 4 1 1 1 5 1 0 1 6 6 1 9 3 4 1 1 2 8 1 1 0 7 1 5
"ToBlV1" 26 2 4 1 2 0 2 0 45 3 2 0 0 0 5 0 1 1 0 4 1 8 1 1 1 1 2 6 1 1 1 1 0 1 0 0 2 5 0 1 2 1 1 5 4 1 0 1 5 2 0 1 0 1 1 1 0 1 0 2 3 6 9 5 1 165 0 1 5 1 27 2 2 2 1 2 1 0 1 1 4 4 3 5 2 0 0 9 4 5 1 5 4 16 4 1 4 3 0 2 5 3 1 1 1 1 0 1 2 13 2 2 1 0 1 0 3 9 1 0 0 12 0 5 10 0 1 2 2 1 2 0 0 1 2 0 1 2 1 1 3 4 2 2 9 1 3 3 11 6 5 7 1 0 2 13 4 8 25 0 3 1 21 1 2 0 2 10 1 0 1 1 17 0 2 2 2 7 2 1 2 1 1 3 0 1 2 3 2 4 1 5 0 0 5 1 1 1 2 4 4 6 2 2 3 1 7 7 1 2 0 7 9 4
"ToLCPaV" 0 0 0 0 0 0 0 0 0 5 1 0 0 0 0 0 1 2 0 16 2 2 1 1 6 0 1 1 1 0 0 1 0 3 0 1 0 1 5 0 0 2 0 1 2 0 2 2 0 12 0 0 1 0 5 1 1 1 0 0 1 6 0 1 0 0 2 2 1 0 0 2 0 0 2 0 0 1 1 1 0 15 0 1 0 0 0 0 1 0 1 8 0 2 0 0 0 2 0 0 0 10 2 0 0 1 0 0 0 8 13 1 0 0 0 0 0 3 0 1 0 7 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 3 0 0 0 0 2 0 0 1 7 1 1 2 0 0 9 10 55 0 3 18 0 2 7 1 1 4 1 3 0 0 0 0 3 11 0 7 1 0 0 3 1 2 0 0 8 0 0 1 0 0 0 0 0 0 0 0 3 0 12 27 1 1 1 0 0 2 2 0 0 1 0 4
"TuMV" 0 1 0 2 0 0 2 1 0 0 3 1 0 0 1 1 0 2 3 9 1 0 0 3 1 0 1 13 1 1 1 3 3 1 0 0 1 4 4 1 1 0 0 1 5 0 1 2 6 1 0 1 1 0 2 0 1 0 1 0 4 5 0 0 0 0 0 1 2 0 0 0 1 0 4 0 1 1 2 0 2 0 1 0 0 2 0 7 0 3 1 4 2 0 0 2 14 6 0 1 4 0 0 0 3 1 1 0 3 3 6 1 2 0 3 1 0 5 1 1 0 30 1 1 8 3 4 1 1 0 0 0 0 2 3 0 0 1 1 0 2 1 7 3 5 4 32 4 1 2 5 6 1 2 2 4 2 0 0 2 0 0 0 1 13 1 2 11 1 0 0 1 1 1 1 0 0 2 0 1 0 0 0 5 3 3 2 1 0 9 1 0 0 4 5 1 0 1 6 1 0 0 5 0 1 1 2 1 1 0 0 0 5 3
"UPV1" 0 0 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 2 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 1 0 2 3 0 0 0 0 1 0 0 2 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 44 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 4 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7 0 0 2 0 0 7 0 8 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0
"WMV" 18 0 0 1 1 0 0 1 0 9 1 0 0 0 0 0 6 0 0 1 0 7 0 1 18 1 0 0 0 2 0 0 1 0 0 6 8 0 7 0 0 0 0 0 8 0 1 0 0 1 0 0 2 0 2 2 2 0 0 1 14 0 0 1 0 0 9 1 1 0 1 8 0 0 0 5 1 0 3 0 0 11 0 3 0 1 0 0 2 3 0 0 0 28 4 3 0 0 2 0 0 0 2 1 1 0 0 4 0 1 0 0 0 0 0 0 3 0 2 0 0 22 0 1 0 0 5 0 0 0 3 0 0 0 5 0 0 0 0 1 0 13 10 13 0 75 0 1 8 2 1 2 0 2 1 5 1 7 0 0 0 12 0 4 0 1 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 1 2 0 0 1 0 0 1 4 4 0 0 0 1 0 0 0 1 0 0 1 12 1 1 0 0 0 0 0 4 3 4 0
