"AO-S001" "AO-S002" "AO-S003" "AO-S006" "AO-S007" "AO-S008" "AO-S009" "AO-S010" "AO-S011" "AO-S012" "AO-S013" "AO-S014" "AO-S015" "AO-S016" "AO-S017" "AO-S019" "AO-S020" "AO-S021" "AO-S022" "AO-S023" "AO-S024" "AO-S026" "AO-S027" "AO-S031" "AO-S032" "AO-S033" "AO-S034" "AO-S035" "AO-S036" "AO-S037" "AO-S038" "AO-S039" "AO-S040" "AO-S041" "AO-S042" "AO-S043" "AO-S044" "AO-S045" "AO-S046" "AO-S047" "AO-S048" "AO-S051" "AO-S052" "AO-S053" "AO-S056" "AO-S057" "AO-S058" "AO-S060" "AO-S061" "AO-S062" "AO-S063" "AO-S064" "AO-S065" "AO-S066" "AO-S067" "AO-S068" "AO-S069" "AO-S070" "AO-S071" "AO-S072" "AO-S073" "AO-S075" "AO-S076" "AO-S077" "AO-S078" "AO-S079" "AO-S080" "AO-S081" "AO-S082" "AO-S083" "AO-S084" "AO-S085" "AO-S086" "AO-S087" "AO-S088" "AO-S089" "AO-S090" "AO-S091" "AO-S092" "AO-S093" "AO-S094" "AO-S095" "AO-S096" "AO-S097" "AO-S098" "AO-S099" "AO-S100" "AO-S101" "AO-S102" "AO-S103" "AO-S104" "AO-S105" "AO-S107" "AO-S109" "AO-S110" "AO-S111" "AO-S112" "AO-S113" "AO-S118" "AO-S119" "AO-S120" "AO-S121" "AO-S122" "AO-S124" "AO-S125" "AO-S126" "AO-S127" "AO-S128" "AO-S129" "AO-S130" "AO-S131" "AO-S132" "AO-S133" "AO-S134" "AO-S135" "AO-S136" "AO-S137" "AO-S138" "AO-S139" "AO-S140" "AO-S141" "AO-S142" "AO-S143" "AO-S144" "AO-S145" "AO-S148" "AO-S149" "AO-S150" "AO-S151" "AO-S152" "AO-S153" "AO-S154" "AO-S156" "AO-S157" "AO-S158" "AO-S159" "AO-S160" "AO-S161" "AO-S162" "AO-S163" "AO-S164" "AO-S165" "AO-S166" "AO-S167" "AO-S168" "AO-S172" "AO-S178" "AO-S186" "AO-S187"
"NLSYV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 3 0 0 0 0 0 0 0 0 0 7 0 0 0 0
"NoMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 2 48 3 5 23 3 3 4 1 37 12 1 4 2 0 0 2 0 7 0 1 2 14 3 0 6 2 1 0 0 2 4 4 3 10 1 14 2 8 3 0 7 6 0 6 1 9 2 0 1 0 12 0 1 2 9 0 37 1 7 8 0 0 1 7 0 1 24 21 6
"PiCV-1" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 12 1 0 0 1 5 0 8 0 0 1 8 1 2 1 3 0 0 0 1 1 0 0 2 0 1 183 1 2 2 7 0 3 1 4 0 0 0 0 0 0 0 2 10 1 0 0 0 0 0 23 6 1 48 0 0 0 5 0 0 0 0 11 0 0 4 0 0 0
"PRSV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 2 0 8 14 2 0 2 1 4 0 11 0 0 0 1 9 0 1 2 1 2 3 0 7 0 1 0 0 1 7 5 47 10 0 3 2 1 2 4 203 3 2 0 1 0 0 1 6 2 6 2 1 4 3 2 0 13 0 0 1 5 5 6 63 1 1 7 3 0 9 5 7 5 1 2 2 1 0 3 0 1 0 0 0 0 1 2 0 60 0
"PSbMV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 3 1 0 2 3 0 0 0 3 0 0 4 0 3 3 0 2 3 6 14 3 0 0 1 8 0 1 0 6 0 5 1 0 0 0 0 0 0 5 0 0 31 0 1 0 11 8 0 9 0 0 3 0 0 5 0 0 5 0 0 2 0 0 1 5 0 0 0 0 0 0 2 18 2 6 0 2 9 0 0 0 0 0 1 3 0 0 0
"PtV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 1 2 7 4 58 8 5 0 10 1 0 0 16 0 1 1 13 2 12 0 5 17 0 0 8 3 0 0 30 5 0 0 2 0 0 2 0 1 1 0 0 2 3 0 0 10 2 8 1 14 2 6 0 5 5 4 1 0 0 2 7 5 0 215 1 2 0 0 0 1 7
"PVA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 3 0 0 0 57 2 2 0 5 1 1 1 0 0 4
"PVY" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 2 1 1 3 8 0 25 118 0 3 7 4 3 1 41 15 1 11 2 0 12 0 56 0 0 9 0 0 1 0 6 0 4 0 2 0 34 2 23 8 1 1 0 1 0 4 43 1 1 0 3 1 9 8 30 2 4 26 2 0 0 0 10 1 4 0 0 2 0 10 37 1 8
"SCBV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 3 5 5 4 2 4 2 29 0 4 20 13 1 3 0 9 2 1 2 1 0 13 0 12 19 2 8 4 3 4 2 0 5 1 12 1 1 9 1 78 30 0 6 17 1 4 6 3 5 0 2 4 0 0 5 1 1 1 1 1 3 4 1 13 0 1 1 0 0 5 2 43 1 1 24 2 1 7 6 73 0 1 25 7 1 8 2 16 6 0 2 1 1 9 0 10 5 2 0 5 4 1 0 3 0 2
"SPBgV" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 3 1 0 19 1 2 1 0 13 8 7 0 0 14 9 1 9 0 4 0 1 41 6 1 0 4 1 3 3 13 9 2 0 0 3 6 3 6 3 1 4 0 0 18 1 3 1 2 6 0 1 6 0 8 1 2 17 3 1 0 1 41 4 3 0 8 0 1 0 4 1 1 11 1 1 13 12 15 4 2 60 1 2 13 1 1 2 0 623 1 74 1 3 21 13 5
